Customer ID,Order Date,Ship Date,Ship Mode,Product ID,Category,Sub-Category,Product Name,Price
DV-13077,12/28/2015,12/31/2015,Second Class,TEC-AC-10003657,Technology,Accessories,Lenovo 17-Key USB Numeric Keypad,4983
CM-12687,11/16/2016,11/20/2016,Standard Class,OFF-EN-10001990,Office Supplies,Envelopes,Staple envelope,2405
AS-10272,11/7/2016,11/11/2016,Standard Class,OFF-BI-10004002,Office Supplies,Binders,Wilson Jones International Size A4 Ring Binders,3355
HE-14832,9/8/2014,9/12/2014,Standard Class,OFF-AR-10004441,Office Supplies,Art,BIC Brite Liner Highlighters,3841
CG-12553,9/8/2014,9/12/2014,Standard Class,TEC-MA-10000822,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,1589
DV-13078,9/8/2014,9/12/2014,Standard Class,OFF-ST-10000991,Office Supplies,Storage,Space Solutions HD Industrial Steel Shelving.,4765
CM-12688,9/8/2014,9/12/2014,Standard Class,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,2264
AS-10273,9/8/2014,9/12/2014,Standard Class,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,4105
HE-14833,9/8/2014,9/12/2014,Standard Class,OFF-AP-10002518,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece Power Center,1767
CG-12554,9/8/2014,9/12/2014,Standard Class,TEC-PH-10003931,Technology,Phones,JBL Micro Wireless Portable Bluetooth Speaker,4684
DV-13079,8/5/2014,8/9/2014,Standard Class,OFF-PA-10000659,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",2061
CM-12689,8/5/2014,8/9/2014,Standard Class,OFF-PA-10001144,Office Supplies,Paper,Xerox 1913,1255
AS-10274,8/5/2014,8/9/2014,Standard Class,FUR-CH-10003817,Furniture,Chairs,"Global Value Steno Chair, Gray",1184
HE-14834,9/14/2014,9/19/2014,Standard Class,OFF-AP-10000891,Office Supplies,Appliances,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,2486
CG-12555,9/14/2014,9/19/2014,Standard Class,OFF-LA-10003148,Office Supplies,Labels,Avery 51,4452
DV-13080,4/21/2017,4/25/2017,Second Class,OFF-AP-10002684,Office Supplies,Appliances,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",4901
CM-12690,11/21/2015,11/23/2015,Second Class,FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",3823
AS-10275,11/21/2015,11/23/2015,Second Class,OFF-SU-10002189,Office Supplies,Supplies,Acme Rosewood Handle Letter Opener,2245
HE-14835,12/15/2015,12/19/2015,Standard Class,OFF-AR-10001940,Office Supplies,Art,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",2190
CG-12556,12/5/2014,12/9/2014,Second Class,OFF-ST-10003455,Office Supplies,Storage,"Tenex File Box, Personal Filing Tote with Lid, Black",3268
DV-13081,12/5/2014,12/9/2014,Second Class,TEC-AC-10004659,Technology,Accessories,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,3306
CM-12691,11/19/2014,11/24/2014,Second Class,TEC-PH-10003273,Technology,Phones,AT&T TR1909W,2718
AS-10276,11/19/2014,11/24/2014,Second Class,TEC-PH-10004896,Technology,Phones,Nokia Lumia 521 (T-Mobile),2855
HE-14836,11/19/2014,11/24/2014,Second Class,TEC-AC-10002345,Technology,Accessories,HP Standard 104 key PS/2 Keyboard,4006
CG-12557,11/28/2016,12/2/2016,Standard Class,OFF-BI-10001890,Office Supplies,Binders,Avery Poly Binder Pockets,4389
DV-13082,8/26/2014,8/30/2014,Standard Class,TEC-AC-10002323,Technology,Accessories,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,2079
CM-12692,7/16/2016,7/22/2016,Standard Class,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",3247
AS-10277,7/16/2016,7/22/2016,Standard Class,OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,3997
HE-14837,10/12/2015,10/14/2015,First Class,FUR-BO-10002613,Furniture,Bookcases,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",2345
CG-12558,10/12/2015,10/14/2015,First Class,TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,3573
DV-13083,10/12/2015,10/14/2015,First Class,OFF-PA-10000061,Office Supplies,Paper,Xerox 205,1330
